variable,bin,points
basepoints,,384.0
int_rate,"[-inf,7.5)",0.0
int_rate,"[7.5,8.5)",0.0
int_rate,"[8.5,12.0)",0.0
int_rate,"[12.0,16.5)",-0.0
int_rate,"[16.5,inf)",-0.0
loan_amnt,"[-inf,9000.0)",5.0
loan_amnt,"[9000.0,13000.0)",0.0
loan_amnt,"[13000.0,30000.0)",-3.0
loan_amnt,"[30000.0,inf)",-0.0
fico_range_low,"[-inf,675.0)",-5.0
fico_range_low,"[675.0,700.0)",-2.0
fico_range_low,"[700.0,755.0)",5.0
fico_range_low,"[755.0,inf)",13.0
revol_util,"[-inf,25.0)",-1.0
revol_util,"[25.0,40.0)",-1.0
revol_util,"[40.0,70.0)",0.0
revol_util,"[70.0,90.0)",1.0
revol_util,"[90.0,inf)",1.0
grade,A,35.0
grade,B,11.0
grade,C,-3.0
grade,D,-15.0
grade,"E%,%F%,%G",-29.0
installment,"[-inf,250.0)",7.0
installment,"[250.0,300.0)",-1.0
installment,"[300.0,350.0)",2.0
installment,"[350.0,inf)",-3.0
sub_grade,"A1%,%A2%,%A3%,%A4",61.0
sub_grade,"A5%,%B1%,%B2",27.0
sub_grade,"B3%,%B4%,%B5%,%C1",9.0
sub_grade,"C2%,%C3%,%C5%,%C4%,%D2%,%D1%,%D3%,%D4%,%D5",-13.0
sub_grade,"E1%,%E5%,%F1%,%E4%,%E3%,%E2%,%F2%,%G3%,%F3%,%G1%,%F4%,%G5%,%F5%,%G2%,%G4",-43.0
annual_inc,"[-inf,55000.0)",-6.0
annual_inc,"[55000.0,90000.0)",-0.0
annual_inc,"[90000.0,105000.0)",5.0
annual_inc,"[105000.0,inf)",11.0
fico_range_high,"[-inf,675.0)",-5.0
fico_range_high,"[675.0,700.0)",-2.0
fico_range_high,"[700.0,755.0)",5.0
fico_range_high,"[755.0,inf)",13.0
revol_bal,"[-inf,4000.0)",2.0
revol_bal,"[4000.0,11000.0)",-4.0
revol_bal,"[11000.0,26000.0)",0.0
revol_bal,"[26000.0,44000.0)",4.0
revol_bal,"[44000.0,inf)",15.0
dti,"[-inf,11.0)",10.0
dti,"[11.0,18.0)",4.0
dti,"[18.0,inf)",-6.0
